40685Chicken - Soup Base                     64175F202005
57576Wine - Port Late Bottled Vintage        54485T202105
48918Foie Gras                               27381T202010
08243Dill Weed - Dry                         54904T202006
51909Bread Bowl Plain                        53032T202004
36477Bread - Wheat Baguette                  61623T202008
42737Stock - Beef, Brown                     21314T202003
70492Wine - Tio Pepe Sherry Fino             93105T202103
94786Gin - Gilbeys London, Dry               56021T202103
63778Sugar - Fine                            38773T202008
48128Soup Campbells - Tomato Bisque          89693F202008
46247Allspice - Jamaican                     31382T202103
02801Veal - Round, Eye Of                    63993F202112
54343Beef - Salted                           74811T202007
60911Ham - Proscuitto                        42951T202011
63030Icecream - Dstk Strw Chseck             87662F202106
40957Corn - Cream, Canned                    04501F202004
24638Irish Cream - Baileys                   78953T202003
06892Mushroom - Shitake, Dry                 33002T202008
57222Soup - Campbells Tomato Ravioli         32415F202112
98143Mousse - Mango                          78282T202001
71426Wine - Pinot Grigio Collavini           14255T202011
65492Bagel - 12 Grain Preslice               92663T202103
32844Wine - Black Tower Qr                   62591F202111
59972Muffin Batt - Choc Chk                  67663T202002
63280Octopus - Baby, Cleaned                 01993F202112
58395Turkey Tenderloin Frozen                96944T202004
44632Latex Rubber Gloves Size 9              01515F202003
98970Compound - Passion Fruit                82974T202007
69643Flour - So Mix Cake White               85304T202001
28006Boogies                                 74513F202006
13947Veal - Loin                             22535T202004
65848Onions - Dried, Chopped                 03185T202003
23009Turnip - White, Organic                 35533F202112
05719Mangoes                                 74655T202101
56984Potatoes - Idaho 80 Count               80473T202007
51568Apricots - Dried                        22882T202110
36084Lettuce - Frisee                        11734T202110
09604Cheese - Provolone                      98353T202108
75521Corn Syrup                              87412F202106
72572Pasta - Detalini, White, Fresh          28653T202006
58671Shrimp - Black Tiger 16/20              92803F202107
59972Ham Black Forest                        49662F202009
92255Spice - Montreal Steak Spice            56903T202009
57593Soup - Beef, Base Mix                   26524F202006
25531Carbonated Water - Blackcherry          60804T202108
23266Beans - French                          69001T202004
47939Bread Cranberry Foccacia                79182F202110
11390Plasticforkblack                        92761T202010
